Año,Mes,Leads,Efectivos,Ventas Reportadas,Ventas Real,SDC,Autorizadas,Formalizado,Contado,Credito,PDM
2024,Febrero ,543,389,12,12,6,2,1,10,1,24
2024,Marzo ,178,128,7,7,11,7,5,4,3,25
2024,Abril ,416,288,8,8,23,14,11,2,6,35
2024,Mayo ,422,274,13,13,26,8,3,3,10,54
2024,Junio,967,620,6,6,43,13,6,0,6,54
2024,Julio,954,570,21,21,55,30,17,7,14,58
2024,Agosto,1409,546,17,17,36,19,9,2,15,61
2024,Septiembre,1315,530,17,17,56,26,7,6,11,75
2024,Octubre,1973,822,23,23,79,31,14,2,21,57
2024,Noviembre,1562,1040,22,22,76,25,14,4,18,92
2024,Diciembre,1282,965,32,32,103,39,17,2,30,95
2025,Enero,1042,723,26,26,83,30,19,3,23,89
2025,Febrero ,561,468,20,20,76,27,12,2,18,101
2025,Marzo ,925,731,30,30,92,31,20,5,25,77
2025,Abril ,1149,872,30,30,59,35,17,7,21,81
2025,Mayo ,815,693,34,34,76,40,19,6,30,127
2025,Junio,1083,694,40,40,97,46,25,6,34,111
2025,Julio,1358,893,36,36,104,41,21,8,31,127
2025,Agosto  ,1419,624,27,27,99,27,13,5,22,123
2025,Septiembre,1100,660,38,41,127,43,25,9,32,116
2025,Octubre,1192,695,40,40,136,51,25,7,32,154
2025,Noviembre,1061,744,41,42,118,49,24,7,37,116
2025,Diciembre,1534,729,31,34,111,31,14,11,23,130
2026,Enero,1516,714,37,38,113,36,21,5,30,148
2026,Febrero ,1235,730,32,30,83,37,17,9,25,109
2026,Marzo ,1785,944,38,41,85,41,18,7,34,118
2026,Abril ,1393,724,39,41,74,41,16,8,33,117
2026,Mayo ,1251,736,35,35,95,45,19,7,29,142
2026,Junio ,1315,754,37,37,82,35,12,14,26,128
2026,Julio ,520,282,33,33,30,10,2,1,6,51
