Periodo,Generadas,Aprobadas,Condicionadas,Rechazadas,Formalizadas,% de Aprobación,% de Formalizacion 
"Enero, 24",5,1,0,4,1,20,100
"Febrero, 24",6,2,0,4,1,33,50
"Marzo, 24",11,7,1,4,5,64,71
"Abril, 24",23,14,0,9,11,61,79
"Mayo, 24",26,8,4,14,3,31,38
"Junio, 24",43,13,0,22,6,30,46
"Julio, 24",55,30,3,17,17,55,57
"Agosto, 24",36,19,0,13,9,53,47
"Septiembre, 24",56,26,1,13,7,46,27
"Octubre, 24",79,31,32,12,14,39,45
"Noviembre, 24",76,25,26,25,14,33,56
"Diciembre, 24",103,39,33,26,17,38,44
"Enero, 25",83,30,25,26,19,36,63
"Febrero, 25",76,27,18,21,12,36,44
"Marzo, 25",92,31,27,30,20,34,65
"Abril, 25",59,35,6,16,17,59,49
"Mayo, 25",76,40,7,25,19,53,48
"Junio, 25",97,46,25,22,25,47,54
"Julio, 25",104,41,22,33,21,39,51
"Agosto, 25",99,27,22,44,13,27,48
"Septiembre, 25",127,43,32,49,25,34,58
"Octubre, 25",136,51,22,62,25,38,49
"Noviembre, 25",118,49,32,36,24,42,49
"Diciembre, 25",111,31,49,28,14,28,45
"Enero, 26",113,37,34,36,21,33,57
"Febrero, 26",83,37,21,25,17,45,46
"Marzo, 26",85,41,14,30,18,48,44
"Abril, 26",74,42,16,16,16,57,38
"Mayo,26",95,44,17,30,19,46,43
"Junio, 26",82,35,10,33,13,43,37
"Julio,26",32,12,9,9,4,38,33
